"PVWatts Hourly PV Performance Data"
"Requested Location","94568, USA"
"Location","Lat, Lng: 37.69, -121.9"
"Latitude (DD)","37.69"
"Longitude (DD)","-121.90"
"Elevation (m)","100.84999847412"
"DC System Size (kW)","34.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","19","10","866","88","25","3","0.13","816.708","41.585","22785.391","21841.271"
"10","19","11","886","89","26","3.3","0.13","883.403","43.064","24408.858","23407.212"
"10","19","12","886","88","27","3.6","0.13","875.003","43.128","24184.463","23190.768"
"10","19","13","848","91","27","3.6","0.13","790.123","41.578","22072.159","21153.312"
"10","19","14","801","82","26","3.4","0.13","637.245","38.152","18183.946","17402.874"
"10","19","15","707","68","25","3","0.13","430.096","33.76","12461.959","11883.639"
"10","19","16","466","45","22","2.4","0.13","184.451","26.034","4746.388","4441.462"
"10","19","17","0","0","18","2","0.13","0","18","0","0"
"10","19","18","0","0","16","2.2","0.13","0","16","0","0"
"10","19","19","0","0","14","2.2","0.13","0","14","0","0"
"10","19","20","0","0","13","1.9","0.13","0","13","0","0"
"10","19","21","0","0","12","1.6","0.13","0","12","0","0"
"10","19","22","0","0","12","1.4","0.13","0","12","0","0"
"10","19","23","0","0","12","1.4","0.13","0","12","0","0"
"10","20","0","0","0","12","1.7","0.13","0","12","0","0"
"10","20","1","0","0","12","2","0.13","0","12","0","0"
"10","20","2","0","0","12","2.3","0.13","0","12","0","0"
"10","20","3","0","0","12","2.3","0.13","0","12","0","0"
"10","20","4","0","0","12","2.1","0.13","0","12","0","0"
"10","20","5","0","0","12","1.9","0.13","0","12","0","0"
"10","20","6","0","0","13","2.4","0.13","0","0","0","0"
"10","20","7","0","31","15","3.3","0.13","28.656","15.552","790.951","626.182"
"10","20","8","0","41","17","3.1","0.13","37.927","17.756","1055.888","881.731"
"10","20","9","0","149","19","2.7","0.13","141.367","22.011","4043.529","3763.508"
"10","20","10","119","284","20","3.3","0.13","398.687","27.673","11495.094","10951.034"
"10","20","11","912","77","21","3.9","0.13","890.186","36.69","25245.238","24213.956"
"10","20","12","906","80","22","3.9","0.13","880.756","37.525","24907.922","23888.592"
"10","20","13","887","76","23","3.9","0.13","796.477","37.055","22678.326","21738"
"10","20","14","838","71","22","4","0.13","643.341","33.211","18740.202","17939.419"
"10","20","15","735","62","20","4.1","0.13","435.304","27.48","12927.347","12332.537"
"10","20","16","500","42","17","3.7","0.13","189.445","20.325","4955.374","4643.042"
"10","20","17","0","0","14","3","0.13","0","14","0","0"
"10","20","18","0","0","12","2.7","0.13","0","12","0","0"
